核心客户号|签约日期|当前签约日期|零售签约产品代码|零售签约产品描述|签约口径说明
1516514617|2015/10/27|2015/10/27|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1526796563|2015/12/18|2015/12/18|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1524643335|2015/9/18|2015/9/18|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1151130772|2015/9/23|2015/9/23|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1525891982|2015/11/11|2015/11/11|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1182652345|2012/4/12|2012/4/12|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1526921291|2015/12/29|2015/12/29|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1501205054|2013/6/13|2013/9/27|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1527269465|2016/1/10|2016/1/10|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1291256110|2012/4/13|2012/4/13|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1186910435|2012/2/8|2015/9/24|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1149777138|2012/1/12|2012/1/12|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1222105977|2014/3/6|2016/1/11|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1287560036|2012/2/7|2014/6/30|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1519577694|2015/12/3|2015/12/3|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1528024119|2016/2/22|2016/2/22|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1507161157|2015/11/24|2015/11/24|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1506445440|2014/2/26|2014/2/26|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1173957500|2013/8/7|2013/8/7|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1112789127|2013/10/16|2014/2/18|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1507375756|2014/12/8|2014/12/8|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1526547890|2015/12/8|2015/12/8|60115|财神卡|借记卡折一本通（卡bin622619）且CO_SIGN_NUM in ('0057','0058')
1514849608|2015/1/25|2015/1/25|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1514639146|2014/11/3|2014/11/3|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1099963407|2014/9/3|2014/9/3|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1526114718|2015/11/19|2015/11/19|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1506724509|2016/1/6|2016/1/6|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1527886335|2016/2/5|2016/2/5|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1241822087|2012/9/12|2015/11/11|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1519716757|2015/12/29|2015/12/29|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1264099172|2016/2/4|2016/3/21|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1512874237|2014/9/3|2014/9/3|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1526065480|2015/11/24|2015/11/24|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1518693919|2015/1/22|2015/1/22|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1506491942|2014/2/17|2014/2/17|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1508832199|2015/6/16|2015/6/16|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1525420082|2015/10/26|2015/12/10|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1130191738|2015/2/13|2015/2/13|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1345217668|2013/1/15|2013/1/15|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1506507624|2014/1/29|2015/5/16|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1520433118|2015/4/21|2015/4/21|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1520926292|2016/1/28|2016/1/28|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1180796964|2012/3/7|2012/3/7|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1524800281|2015/9/23|2015/9/23|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1519320876|2015/2/26|2015/2/26|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1274136995|2015/10/26|2015/10/26|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1514046561|2015/3/20|2015/3/20|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1500280152|2014/10/8|2014/10/8|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1516095416|2015/1/19|2015/1/19|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1527276745|2016/1/10|2016/1/10|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1513717269|2015/10/15|2015/10/15|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1520509033|2016/2/18|2016/2/18|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1523186040|2015/9/19|2015/9/19|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1516596494|2014/12/27|2014/12/27|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1179621474|2013/2/25|2013/11/21|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1215089738|2013/9/29|2015/7/15|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1506558136|2014/2/10|2016/3/14|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1528066869|2016/2/24|2016/2/24|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1512299012|2014/8/16|2014/8/16|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1525411817|2015/12/3|2015/12/3|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1295062105|2011/12/20|2012/4/5|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1226248608|2013/12/2|2014/9/3|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1527984836|2016/2/18|2016/2/18|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1507988992|2014/11/7|2014/11/7|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1300327436|2012/2/15|2012/3/14|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1167381078|2015/1/23|2015/1/23|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1265967044|2014/1/27|2014/8/7|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1267972988|2012/1/20|2012/1/20|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1297184363|2015/7/9|2015/8/21|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1229515015|2012/3/23|2012/3/23|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1522010728|2015/7/22|2015/7/22|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1508096357|2014/4/2|2014/4/2|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1526731129|2015/12/16|2015/12/16|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1511005967|2016/2/5|2016/2/5|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1131141179|2015/9/28|2015/9/28|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1504542625|2013/11/14|2013/11/14|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1250518435|2014/1/10|2014/1/10|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1526739052|2016/3/17|2016/3/17|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1514489602|2014/10/27|2014/10/27|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1526728200|2015/12/29|2015/12/29|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1509832036|2014/5/30|2014/5/30|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1259076099|2013/9/16|2013/9/16|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1270090184|2012/2/2|2015/12/17|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1500055345|2013/3/10|2015/8/10|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1510799818|2015/10/26|2015/10/26|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1506991136|2014/6/26|2014/6/26|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1506646842|2014/2/14|2014/2/14|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1515648849|2015/6/2|2015/6/2|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1528001999|2016/2/18|2016/2/18|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1521805425|2016/2/16|2016/2/16|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1523347336|2015/7/27|2015/7/27|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1507341069|2014/3/13|2014/3/13|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1524690463|2016/2/24|2016/2/24|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1154464394|2012/1/13|2014/11/21|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1506692376|2014/2/17|2014/2/17|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1512491443|2014/11/10|2014/11/10|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1514872846|2014/11/12|2014/11/12|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1508646099|2014/6/25|2014/6/25|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1501053971|2013/6/5|2013/6/5|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1527225270|2016/1/13|2016/1/13|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1526947864|2015/12/24|2015/12/24|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1510793452|2014/6/26|2014/6/26|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1501754010|2013/7/1|2013/9/7|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1231184647|2015/8/19|2015/8/19|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1324693761|2015/2/9|2015/9/28|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1520880752|2015/4/30|2015/4/30|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1527850433|2016/3/18|2016/3/18|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1525767764|2015/11/6|2015/11/6|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1519445304|2015/3/4|2015/3/4|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1126323659|2011/11/24|2012/8/28|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1526940995|2016/2/5|2016/2/5|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1524931960|2015/9/29|2015/9/29|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1507621646|2014/3/20|2014/3/20|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1507198845|2014/3/7|2015/4/28|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1523413506|2015/7/29|2015/7/29|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1510166014|2014/6/25|2014/6/25|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1512611483|2014/8/27|2014/8/27|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1524786185|2015/9/23|2015/9/23|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1510831098|2014/6/26|2014/6/26|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1514603910|2014/11/8|2014/11/8|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1527013613|2015/12/29|2015/12/29|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1512406562|2014/8/20|2014/8/20|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1511752059|2014/7/28|2014/7/28|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1295602903|2015/4/21|2015/4/21|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1510059255|2014/6/29|2014/6/29|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1513980879|2014/10/21|2014/10/21|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1212046301|2011/11/25|2015/12/16|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1527689826|2016/1/27|2016/1/27|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1206364396|2016/2/18|2016/2/18|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1506121272|2014/9/28|2014/9/28|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1201992267|2014/5/30|2014/5/30|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1166404704|2014/11/11|2014/11/11|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1290046158|2012/3/9|2012/3/9|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1519752495|2015/9/11|2015/9/11|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1504808969|2015/9/11|2015/9/11|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1512823422|2015/1/11|2015/1/11|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1526899590|2016/2/24|2016/2/24|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1527998982|2016/2/24|2016/2/24|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1507013108|2014/3/2|2014/3/2|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1502545481|2015/9/17|2015/9/17|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1521937058|2015/6/5|2015/6/5|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1511083371|2015/1/12|2015/1/12|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1504609036|2013/11/14|2013/11/14|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1523107226|2015/7/16|2015/7/16|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1527883626|2016/2/5|2016/2/5|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1516752291|2015/8/4|2015/8/4|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1526322264|2015/11/28|2015/11/28|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1528412333|2016/3/17|2016/3/17|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1506540072|2016/3/14|2016/3/14|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1525713717|2015/11/4|2015/11/4|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1512908863|2014/11/5|2014/11/5|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1099757185|2012/3/1|2012/3/1|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1131656839|2011/11/25|2015/12/22|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1518520167|2015/3/4|2015/3/4|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1519249192|2015/2/15|2015/2/15|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1526768776|2015/12/17|2015/12/17|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1526735521|2015/12/16|2015/12/16|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1516193473|2016/2/4|2016/2/4|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1510013603|2015/12/24|2015/12/24|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1518703102|2015/1/28|2015/1/28|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1213524720|2014/9/20|2014/9/20|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1516269928|2014/12/25|2014/12/25|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1517323789|2015/10/8|2015/10/8|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1511527565|2014/7/18|2014/7/18|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1506773683|2015/2/9|2015/2/9|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1302600265|2012/4/10|2012/4/10|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1527911497|2016/2/14|2016/2/14|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1519372940|2015/3/1|2015/3/1|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1288028215|2012/1/10|2014/12/8|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1178024995|2012/1/12|2012/1/12|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1513366550|2016/1/6|2016/1/6|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1516420368|2014/12/22|2014/12/22|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1525529978|2015/10/28|2015/10/28|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1327985236|2012/9/18|2012/9/18|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1507308161|2014/3/11|2014/3/11|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1503712957|2014/4/10|2015/10/8|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1296744971|2014/1/20|2015/10/20|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1152772333|2014/5/16|2014/5/16|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1524761998|2015/9/22|2015/9/22|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1520863958|2015/4/25|2015/11/19|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1162006815|2012/1/19|2012/3/2|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1147428879|2014/3/3|2014/3/3|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1512250361|2016/2/23|2016/2/23|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1520451348|2015/4/10|2015/4/10|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1273257270|2012/1/18|2012/1/18|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1515419015|2015/7/18|2015/7/18|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1500094138|2013/3/4|2013/3/4|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1230927628|2015/7/2|2015/7/2|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1528168655|2016/3/17|2016/3/17|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1520474988|2015/8/30|2016/3/17|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1507432315|2015/7/24|2016/1/6|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1513447321|2014/9/29|2014/9/29|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1524668013|2015/9/24|2015/9/24|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1512054688|2015/1/2|2015/1/2|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1305363041|2016/1/14|2016/1/14|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1524907759|2015/9/28|2015/9/28|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1515946839|2015/1/2|2015/1/2|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1528023321|2016/2/19|2016/2/19|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1329394309|2016/2/18|2016/2/18|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1513413365|2014/9/29|2014/9/29|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1509230228|2015/12/23|2015/12/23|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1514491429|2015/9/26|2015/9/26|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1505740278|2016/1/1|2016/1/1|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1519276510|2015/10/8|2015/10/8|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
